,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
369,ostrovnoy,89,RU,1571099931,86,68.05,39.51,272.9,2.888
370,araouane,2,ML,1571099931,22,18.9,-3.53,305.7,5.568
371,eyl,28,SO,1571099931,80,7.98,49.82,299.94,3.242
372,kattivakkam,75,IN,1571099931,100,13.22,80.32,299.15,2.1
373,codrington,75,AU,1571099931,54,-28.95,153.24,302.59,1.0
374,kidal,0,ML,1571099931,20,18.44,1.41,301.89,3.42
375,chifeng,0,CN,1571099931,17,42.27,118.96,282.31,2.823
376,khilok,100,RU,1571099931,35,51.36,110.46,278.23,2.262
377,ottumwa,1,US,1571099931,71,41.02,-92.41,285.15,2.6
378,promyshlennyy,100,RU,1571099931,86,67.58,63.92,273.01,3.757
379,naze,94,NG,1571099931,97,5.43,7.07,295.78,1.235
380,marsa matruh,40,EG,1571099931,69,31.35,27.25,296.15,2.1
